jp,kana,definition,hint,wani_kani_level
七,なな・しち,,,1
刀,かたな,,,1
切る,きる,,七刀,1
一,いち,,,1
十,じゅう,,一,1
千,せん,,十,1
口,くち,,,1
中,なか,,口,1
古い,ふるい,,十口,1
人,ひと,,,1
人口,じんこう,,,1
人工,じんこう,,,1
右,みぎ,,口,1
左,ひだり,,工,1
日,ひ,,,1
早い,はやい,"early, fast",日十,1
月,つき,,,1
白,しろ,,日,1
白い,しろい,,,1
百,ひゃく,hundred,日,1
今,いま,,,1
今日,きょう,,,1
今月,こんげつ,this month,,1
木,き,,,1
本,ほん,,木一,1
日本,にほん,,,1
日本人,にほんじん,,,1
入る,はいる,,,2
入れる,いれる,,,2
入り口,いりぐち,,,2
出る,でる,,,2
出す,だす,,,2
出かける,でかける,,,2
出口,でぐち,,,2
引く,ひく,to pull,,2
引き出す,ひきだす,to withdraw,,2
大きい,おおきい,,,2
大切,たいせつ,important,,2
犬,いぬ,,,2
太い,ふとい,,,2
太る,ふとる,,,2
小さい,ちいさい,,,2
少し,すこし,,小,2
少ない,すくない,,,2
二,に,,,2
手,て,,二,2
切手,きって,postage stamp,,2
上,うえ,,一,2
上げる,あげる,,,2
下,した,,一,2
下げる,さげる,,,2
上手,じょうず,,,2
下手,へた,,,2
九,きゅう,,,2
丸,まる,,,2
丸い,まるい,,,2
お母さん,おかあさん,(honorable) mother,,3
お父さん,おとうさん,(honorable) father,,3
万,まん,ten thousand,,3
力,ちから,"strength, power",,3
分かる,わかる,to understand,刀,3
十分,じゅうぶん,enough,,3
大分,だいぶ,"greatly, considerably",,3
半,はん,half (half an hour),,3
半分,はんぶん,half,,3
方,かた,"method of, manner of",,3
夕方,ゆうがた,evening,,3
外,そと,Outside,夕,3
止める,やめる,,,3
正しい,ただしい,,,3
先,さき,ahead (of),,3
先月,せんげつ,last month,,3
生きる,いきる,alive,,3
生まれる,うまれる,to be born,,3
先生,せんせい,teacher,,3
男,おとこ,Man,田力,3
女,,,,3
子,こ,,,3
女の子,,,,3
男の子,おとこのこ,Boy,,3
字,じ,character,子,4
字引,じびき,kanji dictionary,,4
赤,あか,red,十,4
赤い,あかい,red（い）,,4
門,もん,gate,,4
耳,みみ,ear,,4
聞く,きく,"to listen, to hear",耳,4
目,め,eye,,4
見る,みる,,目,4
見える,みえる,to be in sight,,4
見せる,みせる,to show,,4
言う,いう,to say,口,4
立つ,たつ,,,4
立てる,たてる,,,4
体,からだ,body,,4
休み,やすみ,"vacation, recess",,4
休む,やすむ,"to rest, to take a day off",,4
去る,さる,to leave; to go away,,4
年,とし,year,,4
今年,ことし,this year,,4
去年,きょねん,last year,,4
町,まち,"town,city",田,4
打つ,うつ,to hit,,4
村,むら,village,木,4
花,はな,flower,,4
花見,はなみ,cherry-blossom viewing,,4
虫,むし,insect,中,4
心,こころ,"core, heart",,4
お礼,おれい,"thanks, gratitude",,4
北,きた,North,,4
思う,おもう,think,田心,4
足,あし,"foot, leg",口止,4
足す,たす,to add (numbers / something),,4
車,くるま,"car, vehicle",田,4
多い,おおい,many,夕,5
多分,たぶん,"perhaps, probably",多,5
気,き,"spirit,mood",,5
気分,きぶん,"feeling, mood",,5
天気,てんき,weather,,5
元気,げんき,"energetic, healthy",,5
仕方,しかた,method,,5