kanji,hiragana,english,level,vocabulary_kanji,wani_kani_level
一,いち,one,5,一,1
二,に,two,5,二,1
三,さん,Three,5,三,1
四,し / よん,Four,5,四,1
五,ご,Five,5,五,1
六,ろく,six,5,六,1
七,しち / なな,Seven,5,七,1
八,はち,eight,5,八,1
九,きゅう / く,Nine,5,九,1
十,じゅう,Ten,5,十,1
千,せん,Thousand,5,千,1
上,うえ,on top of,5,上,1
上げる,あげる,to give; to raise,5,上,1
上る,あがる,to rise,4,上,1
下,した,Below,5,下,1
下げる,さげる,to hang (something),4,下,1
下る,さがる,to go down; to fall; to drop,4,下,1
下りる,おりる,to get off,4,下,1
口,くち,mouth,5,口,1
人,ひと,person,5,人,1
人口,じんこう,population,4,人口,1
入る,はいる,to enter,5,入,1
入れる,いれる,to put in,5,入,1
入口,いりぐち,entrance,5,入口,1
力,ちから,"strength, power",4,力,1
大きい,おおきい,big（い）,5,大,1
大きな,おおきな,big（な）,5,大,1
大人,おとな,Adult,5,大人,1
女,おんな,Woman,5,女,1
山,やま,mountain,5,山,1
手,て,hand,5,手,2
中,なか,middle,5,中,2
中々,なかなか,considerably,4,中,2
丸い・円い,まるい,"round, circular",5,丸円,2
出かける,でかける,to go out,5,出,2
出す,だす,to put out,5,出,2
出る,でる,to leave,5,出,2
出口,でぐち,exit,5,出口,2
上手,じょうず,Skillful,5,上手,2
下手,へた,unskillful,5,下手,2
右,みぎ,right,5,右,2
左,ひだり,left,5,左,2
子,こ,child（prefix）,4,子,2
女の子,おんなのこ,Girl,5,女子,2
小さい,ちいさい,small（い）,5,小,2
小さな,ちいさな,small（な）,5,小,2
正しい,ただしい,correct,4,正,2
日,ひ,"day, sun",4,日,2
火,ひ,"fire (candle fire, etc)",4,火,2
水,みず,water,5,水,2
木,き,"tree, wood",5,木,2
犬,いぬ,dog,5,犬,2
本,ほん,book,5,本,2
白,しろ,White,5,白,2
白い,しろい,White（い）,5,白,2
目,め,eye,5,目,2
立つ,たつ,to stand,5,立,2
立てる,たてる,to stand something up,4,立,2
お母さん,おかあさん,(honorable) mother,5,母,3
お父さん,おとうさん,(honorable) father,5,父,3
万,まん,ten thousand,5,万,3
今,いま,now,5,今,3
今日,きょう,Today,5,今日,3
今月,こんげつ,this month,5,今月,3
冬,ふゆ,winter,5,冬,3
分かる,わかる,to understand,5,分,3
切る,きる,to cut,5,切,3
切手,きって,postage stamp,5,切手,3
北,きた,North,5,北,3
十分,じゅうぶん,enough,4,十分,3
半,はん,half (half an hour),5,半,3
半分,はんぶん,half,5,半分,3
古い,ふるい,old (not used for people),5,古,3
夕方,ゆうがた,evening,5,夕方,3
外,そと,Outside,5,外,3
大分,だいぶ,"greatly, considerably",4,大分,3
大切,たいせつ,important,5,大切,3
太い,ふとい,fat,5,太,3
太る,ふとる,to become fat,4,太,3
少し,すこし,a little bit (few),5,少,3
少ない,すくない,a few (quantity),5,少,3
市,し,city,4,市,3
広い,ひろい,"spacious, wide",5,広,3
引き出し,ひきだし,drawer,4,引出,3
引き出す,ひきだす,to withdraw,4,引出,3
引く,ひく,to pull,5,引,3
心,こころ,"core, heart",4,心,3
戸,と,door (esp. Japanese style),5,戸,3
方,かた,"method of, manner of",5,方,3
止まる,とまる,to stop (moving),5,止,3
止む,やむ,to stop (natural elements),4,止,3
止める,とめる,to stop something,4,止,3
止める,やめる,"to stop, to quit (an activity)",4,止,3
毛,け,"fur, hair",4,毛,3
生きる,いきる,alive,4,生,3
生まれる,うまれる,to be born,5,生,3
用,よう,"use (purpose), task, errand",4,用,3